cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
35530,First Carolina Bank,NC,ROCKY MOUNT,Intermediate Small Bank Evaluation,06/01/2025,Satisfactory,2890968.0,,,2024/35530_240715.PDF,False,False
90196,BayCoast Bank,MA,SWANSEA,Large Bank Evaluation,04/01/2025,Satisfactory,2882005.0,High Satisfactory,Outstanding,2024/90196_240130.PDF,False,False
25093,Habib American Bank,NY,NEW YORK,Large Bank Evaluation,12/01/2025,Satisfactory,2856490.0,Low Satisfactory,Low Satisfactory,2025/25093_250714.PDF,True,True
57463,PCB Bank,CA,LOS ANGELES,Large Bank Evaluation,02/01/2025,Satisfactory,2854271.0,Low Satisfactory,High Satisfactory,2024/57463_240729.PDF,False,True
58255,River Bank & Trust,AL,PRATTVILLE,Large Bank Evaluation,10/01/2023,Satisfactory,2833353.0,High Satisfactory,High Satisfactory,2023/58255_230427.PDF,False,False
16470,Jefferson Bank,TX,SAN ANTONIO,Large Bank Evaluation,03/01/2026,Satisfactory,2802550.0,Low Satisfactory,Outstanding,2025/16470_251014.PDF,False,True
30470,Manasquan Bank,NJ,MANASQUAN,Large Bank Evaluation,02/01/2024,Satisfactory,2795423.0,Outstanding,High Satisfactory,2023/30470_230911.PDF,False,False
34404,WebBank,UT,SALT LAKE CITY,Strategic Plan Evaluation,05/01/2021,Outstanding,2782223.0,,,2020/34404_201130.PDF,False,False
17741,Maine Community Bank,ME,PORTLAND,Intermediate Small Bank Evaluation,07/01/2026,Satisfactory,2778098.0,,,2025/17741_251208.PDF,False,False
34533,First Community Bank,AR,BATESVILLE,Large Bank Evaluation,09/01/2024,Satisfactory,2757543.0,High Satisfactory,Low Satisfactory,2024/34533_240318.PDF,True,True
20231,Pinnacle Bank,TX,FORT WORTH,Large Bank Evaluation,03/01/2025,Outstanding,2747997.0,High Satisfactory,High Satisfactory,2024/20231_240819.PDF,False,False
34618,Macatawa Bank,MI,HOLLAND,Large Bank Evaluation,11/01/2021,Satisfactory,2733572.0,High Satisfactory,Low Satisfactory,2021/34618_210524.PDF,True,True
17514,Banterra Bank,IL,MARION,Large Bank Evaluation,12/01/2023,Satisfactory,2726883.0,Low Satisfactory,Low Satisfactory,2023/17514_230213.PDF,True,True
17764,Centreville Bank,RI,WEST WARWICK,Large Bank Evaluation,03/01/2025,Satisfactory,2723778.0,High Satisfactory,High Satisfactory,2024/17764_240819.PDF,False,False
