Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
921663,Family Dollar 2579,555 High St,,Holyoke,MA,01040,5253,HAMPDEN,Other,42.20187,-72.612762,,,68571
921669,Family Dollar 4637,644 State St,,Springfield,MA,01109,4106,HAMPDEN,Other,42.110008,-72.570679,,,68572
921673,Family Dollar 3060,525 Washington St,,Stoughton,MA,02072,4209,NORFOLK,Other,42.13166,-71.101761,,,68573
921674,Dollar Tree 6561,622 Somerville Ave,Ste 1,Somerville,MA,02143,3211,MIDDLESEX,Other,42.38401,-71.110107,,,68574
921711,Family Dollar 2684,22 Bennington St,,Boston,MA,02128,1704,SUFFOLK,Other,42.375328,-71.038216,,,68577
921725,Family Dollar 4288,309 Moody St,,Waltham,MA,02453,5206,MIDDLESEX,Other,42.371029,-71.237373,,,68578
921790,Family Dollar 5274,450 Broadway,,Everett,MA,02149,3601,MIDDLESEX,Other,42.407585,-71.055519,,,68585
921794,Family Dollar 6068,615 Broadway,,Chelsea,MA,02150,2555,SUFFOLK,Other,42.394634,-71.030746,,,68587
921797,Family Dollar 7061,216 Bussey St,,Dedham,MA,02026,2512,NORFOLK,Other,42.249287,-71.155319,,,68589
921971,Farmers Outlet 1,255 Cape Hwy,,East Taunton,MA,02718,1512,BRISTOL,Super Store,41.902611,-70.99073,,,68611
1658275,Aazz Market & Cafe n/a,19 Highland Ave,,Randolph,MA,02368,4553,NORFOLK,Convenience Store,42.164417,-71.047264,,,68673
745109,Stop & Shop 11,40 Furlong Dr,,Revere,MA,02151,4006,SUFFOLK,Supermarket,42.399487,-70.999382,,,68753
745172,Speedway 2407,500 S Union St,,Lawrence,MA,01843,2812,ESSEX,Convenience Store,42.689182,-71.153046,,,68756
745399,EASY CONVENIENCE & DELI,26 Elm St,,Waltham,MA,02453,5360,MIDDLESEX,Convenience Store,42.375595,-71.234367,,,68771
1673275,Shaw's 1430,65 Main St,,Medway,MA,02053,1817,NORFOLK,Supermarket,42.152096,-71.403267,,,68789
746451,EZ CONVENIENCE & GAS,1800 Purchase St,,New Bedford,MA,02740,6809,BRISTOL,Convenience Store,41.649845,-70.928505,,,68884
920294,Walgreens 05755,413 Washington St,,Stoughton,MA,02072,4210,NORFOLK,Other,42.134602,-71.101707,,,68989
920309,Walgreens 11119,720 Main St,,Clinton,MA,01510,2430,WORCESTER,Other,42.422989,-71.687981,,,68998
931604,Melchris of Boston Inc,74 Central Ave,,Lynn,MA,01901,1104,ESSEX,Grocery Store,42.464241,-70.948349,,,69304
931625,Cumberland Farms 6661,132 Elm St,,Amesbury,MA,01913,3002,ESSEX,Convenience Store,42.858166,-70.923477,,,69308
931713,Dollar Tree 4276,221 Gloucester Crossing,,Gloucester,MA,01930,    ,ESSEX,Other,42.624035,-70.657883,,,69316
931783,Family Dollar 8082,665 Liberty St,Ste 1,Springfield,MA,01104,2462,HAMPDEN,Other,42.120979,-72.584167,,,69327
932040,Western Ave Market,317 Western Ave,,Cambridge,MA,02139,3747,MIDDLESEX,Convenience Store,42.3647,-71.113266,,,69347
930631,Walgreens 05075,2341 Main St,,Tewksbury,MA,01876,3162,MIDDLESEX,Other,42.578445,-71.194016,,,69449
932716,Cumberland Farms 6720,1530 Main St,,Leicester,MA,01524,1915,WORCESTER,Convenience Store,42.245995,-71.93203,,,69500
930271,Cumberland Farms 0195,1061 Memorial Dr,,Chicopee,MA,01020,3935,HAMPDEN,Convenience Store,42.187084,-72.576904,,,69588
930333,Market Basket 62,95 Sutton Ave,,Oxford,MA,01540,1812,WORCESTER,Super Store,42.113739,-71.849991,,,69592
932428,CVS Pharmacy 1031,4600 Washington St,,Roslindale,MA,02131,4832,SUFFOLK,Other,42.275997,-71.139618,,,69626
932432,CVS Pharmacy 3890,207 Market St,,Brighton,MA,02135,1920,SUFFOLK,Other,42.355782,-71.150002,,,69636
1619190,Lucky Corner Market,1300 Gorham St,,Lowell,MA,01852,    ,MIDDLESEX,Convenience Store,42.62035,-71.30481,,,69661
1618111,Mamas Halal Meat & Fish,335 Washington St,,Woburn,MA,01801,2115,MIDDLESEX,Specialty Store,42.497028,-71.124039,,,69687
1619471,El Tesoro Supermarket Lawrence Inc,473 Haverhill St,,Lawrence,MA,01841,4202,ESSEX,Grocery Store,42.706623,-71.176231,,,69885
1584247,Corner Variety,84 Hale St,,Beverly,MA,01915,4632,ESSEX,Convenience Store,42.550209,-70.86837,,,69890
1589118,Budget Mart n/a,225 Florence St,,Roslindale,MA,02131,3745,SUFFOLK,Convenience Store,42.285698,-71.120293,,,69895
1587775,Boulevard Variety,33 Western Ave,,Gloucester,MA,01930,3622,ESSEX,Convenience Store,42.610561,-70.668312,,,69914
1589462,Richdale Convenience Store,84 Highland Ave,Ste 103,Salem,MA,01970,2732,ESSEX,Convenience Store,42.512066,-70.909233,,,69919
1580786,Monumental Super Market,213 Washington St,,Dorchester,MA,02121,3909,SUFFOLK,Grocery Store,42.302166,-71.077904,,,69929
1588413,Backyard Growcery,9 Sargent St,,Gloucester,MA,01930,2718,ESSEX,Farmers and Markets,42.618553,-70.663101,,,69939
858719,Haverhill Beef Company,117 Merrimack St,,Haverhill,MA,01830,6208,ESSEX,Grocery Store,42.774601,-71.079651,,,70023
858773,Trader Joe's 506,358 Broadway,Unit B,Saugus,MA,01906,    ,ESSEX,Supermarket,42.483116,-71.01828,,,70041
858934,Walgreens 10342,897 Main St,,Melrose,MA,02176,2322,MIDDLESEX,Other,42.46537,-71.061035,,,70089
