rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
396,Cache,UT,12298,survey-weighted,2,8,Cache Valley Bank,3281738,FDIC,High Satisfactory,Low Satisfactory,"Cache Valley Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); D. L. Evans Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
397,Floyd,GA,12263,survey-weighted,1,1,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
398,Saginaw,MI,12229,survey-weighted,1,5,CHOICEONE BANK,2724240,FED,Low Satisfactory,Low Satisfactory,"CHOICEONE BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory)"
400,Davidson,NC,12196,survey-weighted,3,4,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); The Fidelity Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); HOMETRUST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
403,Kenton,KY,12180,survey-weighted,1,1,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
404,Tompkins,NY,12173,survey-weighted,2,11,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,9br,inv=Low Satisfactory,svc=High Satisfactory); CHEMUNG CANAL TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=-)"
405,Chesterfield,VA,12146,survey-weighted,3,5,PRIMIS BANK,3831355,FED,Low Satisfactory,Low Satisfactory,"PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST COMMUNITY BANK(FED,3br,inv=-,svc=Low Satisfactory)"
406,Lauderdale,AL,12023,survey-weighted,2,11,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); BANK INDEPENDENT(FED,8br,inv=Low Satisfactory,svc=-)"
407,Minnehaha,SD,12006,survey-weighted,4,9,First International Bank & Trust,4876751,FDIC,Low Satisfactory,Low Satisfactory,"First International Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST PREMIER BANK(FED,5br,inv=Low Satisfactory,svc=-); FIRST WESTERN BANK AND TRUST(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); CENTRAL BANK(FED,2br,inv=Low Satisfactory,svc=-)"
408,Rankin,MS,11975,survey-weighted,5,19,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); BankPlus(FDIC,5br,inv=Outstanding,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,7br,inv=Low Satisfactory,svc=High Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
409,Columbia,GA,11928,survey-weighted,4,5,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Pinnacle Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); First Community Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
410,Whatcom,WA,11924,survey-weighted,3,14,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); Peoples Bank(FDIC,9br,inv=High Satisfactory,svc=Low Satisfactory); First Fed Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
411,Bibb,GA,11907,survey-weighted,3,6,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); Colony Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
412,Madison,IL,11822,survey-weighted,2,17,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,8br,inv=-,svc=Low Satisfactory); FCB Banks(FDIC,9br,inv=Low Satisfactory,svc=High Satisfactory)"
414,Shasta,CA,11758,MODELED,1,1,Five Star Bank,3476132,FDIC,High Satisfactory,Low Satisfactory,"Five Star Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
416,Butler,PA,11753,survey-weighted,1,1,UNIVEST BANK AND TRUST CO.,6892885,FED,-,Low Satisfactory,"UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory)"
418,Marshall,AL,11531,survey-weighted,1,3,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory)"
420,Bay,FL,11485,survey-weighted,5,14,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,6br,inv=-,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
422,Howard,MD,11410,survey-weighted,1,1,ORRSTOWN BANK,2780990,FED,Low Satisfactory,Low Satisfactory,"ORRSTOWN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
423,DeKalb,AL,11402,survey-weighted,1,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory)"
424,Forrest,MS,11395,survey-weighted,4,5,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,2br,inv=Low Satisfactory,svc=-)"
425,Douglas,KS,11373,survey-weighted,3,10,CENTRAL TRUST BANK THE,19551204,FED,Low Satisfactory,-,"CENTRAL TRUST BANK THE(FED,7br,inv=Low Satisfactory,svc=-); NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); RCB BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
426,Jasper,MO,11322,survey-weighted,1,1,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory)"
427,Ector,TX,11260,survey-weighted,3,10,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); City Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); American Momentum Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
429,Cass,ND,11154,survey-weighted,4,11,First International Bank & Trust,4876751,FDIC,Low Satisfactory,Low Satisfactory,"First International Bank & Trust(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST WESTERN BANK AND TRUST(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory); Western State Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Starion Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
430,Kitsap,WA,11112,survey-weighted,4,16,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,10br,inv=High Satisfactory,svc=Low Satisfactory); 1st Security Bank of Washington(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); First Fed Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Timberland Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
432,Mesa,CO,11086,survey-weighted,1,3,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
433,Montgomery,VA,11084,survey-weighted,4,8,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST COMMUNITY BANK(FED,2br,inv=-,svc=Low Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
434,Faulkner,AR,11072,survey-weighted,5,23,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,2br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,14br,inv=-,svc=Low Satisfactory); First Community Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
435,Paulding,GA,11042,survey-weighted,2,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
436,Rensselaer,NY,11035,survey-weighted,1,1,BROOKLINE BANK,4966140,FED,Low Satisfactory,Low Satisfactory,"BROOKLINE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
438,Franklin,PA,11009,survey-weighted,3,18,ORRSTOWN BANK,2780990,FED,Low Satisfactory,Low Satisfactory,"ORRSTOWN BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory); ACNB Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Farmers and Merchants Trust Company of Chambersburg(FDIC,12br,inv=Low Satisfactory,svc=High Satisfactory)"
439,Livingston Parish,LA,11007,survey-weighted,4,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); First Guaranty Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
440,Scott,IA,10996,survey-weighted,2,9,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory); Blackhawk Bank & Trust(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
441,Whitfield,GA,10984,survey-weighted,1,1,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
443,Greene,OH,10944,survey-weighted,1,2,Union Savings Bank,3391585,FDIC,High Satisfactory,Low Satisfactory,"Union Savings Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
444,Jefferson,AR,10884,survey-weighted,1,8,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,8br,inv=-,svc=Low Satisfactory)"
445,Muskegon,MI,10883,survey-weighted,1,5,CHOICEONE BANK,2724240,FED,Low Satisfactory,Low Satisfactory,"CHOICEONE BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory)"
446,Santa Rosa,FL,10872,survey-weighted,1,1,CENTENNIAL BANK,22808174,FED,-,Low Satisfactory,"CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory)"
447,Rowan,NC,10868,survey-weighted,2,2,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
448,Madison,MS,10826,survey-weighted,5,16,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); BankPlus(FDIC,8br,inv=Outstanding,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
449,Tangipahoa Parish,LA,10813,survey-weighted,4,13,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); First Guaranty Bank(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
451,Marin,CA,10786,MODELED,2,11,Bank of Marin,4036176,FDIC,Low Satisfactory,Low Satisfactory,"Bank of Marin(FDIC,10br,inv=Low Satisfactory,svc=Low Satisfactory); Exchange Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
452,Kanawha,WV,10761,survey-weighted,1,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
454,Jefferson,NY,10719,survey-weighted,1,10,Watertown Savings Bank,925416,FDIC,Low Satisfactory,Outstanding,"Watertown Savings Bank(FDIC,10br,inv=Low Satisfactory,svc=Outstanding)"
457,Randall,TX,10640,survey-weighted,3,11,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,6br,inv=-,svc=Low Satisfactory); First United Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
458,Douglas,GA,10613,survey-weighted,3,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
459,Thurston,WA,10557,survey-weighted,3,12,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); 1st Security Bank of Washington(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Timberland Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory)"
460,Etowah,AL,10438,survey-weighted,1,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,4br,inv=-,svc=Low Satisfactory)"
462,Ouachita Parish,LA,10423,survey-weighted,3,14,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,6br,inv=Low Satisfactory,svc=Low Satisfactory); b1BANK(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory)"
463,Monroe,PA,10412,survey-weighted,2,8,Wayne Bank,2366498,FDIC,High Satisfactory,Low Satisfactory,"Wayne Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); First Keystone Community Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
464,Maury,TN,10406,survey-weighted,2,11,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); FIRST FARMERS AND MERCHANTS BANK(FED,9br,inv=Low Satisfactory,svc=Low Satisfactory)"
465,Wood,OH,10384,survey-weighted,1,1,CIVISTA BANK,3006039,FED,-,Low Satisfactory,"CIVISTA BANK(FED,1br,inv=-,svc=Low Satisfactory)"
466,St. Landry Parish,LA,10244,survey-weighted,1,2,b1BANK,5531431,FDIC,Low Satisfactory,Low Satisfactory,"b1BANK(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
467,Hampton city,VA,10223,survey-weighted,1,1,PRIMIS BANK,3831355,FED,Low Satisfactory,Low Satisfactory,"PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
468,Lea,NM,10175,survey-weighted,1,3,First American Bank,1779138,FDIC,Outstanding,Low Satisfactory,"First American Bank(FDIC,3br,inv=Outstanding,svc=Low Satisfactory)"
469,Vigo,IN,10175,survey-weighted,1,2,FIRST FARMERS BANK & TRUST CO.,2298100,FED,Low Satisfactory,-,"FIRST FARMERS BANK & TRUST CO.(FED,2br,inv=Low Satisfactory,svc=-)"
470,Sandoval,NM,10150,survey-weighted,1,1,First American Bank,1779138,FDIC,Outstanding,Low Satisfactory,"First American Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory)"
471,Comanche,OK,10088,survey-weighted,2,6,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,4br,inv=High Satisfactory,svc=Low Satisfactory); International Bank of Commerce(FDIC,2br,inv=Outstanding,svc=Low Satisfactory)"
472,Putnam,TN,10040,survey-weighted,3,6,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Citizens Bank of Lafayette(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
476,Somerset,NJ,9964,survey-weighted,3,12,PEAPACK-GLADSTONE BANK,5892261,FED,-,Low Satisfactory,"PEAPACK-GLADSTONE BANK(FED,7br,inv=-,svc=Low Satisfactory); Unity Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Princeton(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
478,Flagler,FL,9946,survey-weighted,1,1,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
479,Racine,WI,9940,survey-weighted,1,4,North Shore Bank,2569494,FDIC,Low Satisfactory,High Satisfactory,"North Shore Bank(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory)"
480,Saratoga,NY,9930,survey-weighted,2,12,CHEMUNG CANAL TRUST COMPANY,2649923,FED,Low Satisfactory,-,"CHEMUNG CANAL TRUST COMPANY(FED,2br,inv=Low Satisfactory,svc=-); ADIRONDACK TRUST COMPANY THE(FED,10br,inv=Low Satisfactory,svc=Low Satisfactory)"
481,Fairbanks North Star Borough,AK,9919,survey-weighted,1,2,Northrim Bank,2564795,FDIC,High Satisfactory,Low Satisfactory,"Northrim Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
484,Sarpy,NE,9898,survey-weighted,2,4,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); FIVE POINTS BANK(FED,2br,inv=Low Satisfactory,svc=-)"
485,Black Hawk,IA,9894,survey-weighted,2,5,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Lincoln Savings Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
488,Hardin,KY,9818,survey-weighted,2,3,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); South Central Bank,  Inc.(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
490,Ascension Parish,LA,9799,survey-weighted,3,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Red River Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
491,Arlington,VA,9798,survey-weighted,2,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FVCBANK(FED,1br,inv=Needs to Improve,svc=-)"
493,Cabarrus,NC,9790,survey-weighted,1,2,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory)"
494,Outagamie,WI,9789,survey-weighted,1,1,North Shore Bank,2569494,FDIC,Low Satisfactory,High Satisfactory,"North Shore Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
496,Catawba,NC,9753,survey-weighted,1,10,Peoples Bank,1620439,FDIC,Low Satisfactory,High Satisfactory,"Peoples Bank(FDIC,10br,inv=Low Satisfactory,svc=High Satisfactory)"
497,Warren,OH,9730,survey-weighted,1,1,Union Savings Bank,3391585,FDIC,High Satisfactory,Low Satisfactory,"Union Savings Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
498,Gregg,TX,9713,survey-weighted,3,6,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Prosperity Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); ORIGIN BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
500,Rockingham,VA,9589,survey-weighted,2,2,Burke & Herbert Bank & Trust Company,3563307,FDIC,Low Satisfactory,High Satisfactory,"Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
502,Parker,TX,9561,survey-weighted,3,5,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,2br,inv=-,svc=Low Satisfactory); INTERBANK(FED,1br,inv=Low Satisfactory,svc=-)"
503,Franklin,MO,9547,survey-weighted,1,1,MIDLAND STATES BANK,7782095,FED,Low Satisfactory,Low Satisfactory,"MIDLAND STATES BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
504,Canadian,OK,9543,survey-weighted,4,12,BancFirst,9485506,FDIC+FED,High Satisfactory,Low Satisfactory,"BancFirst(FDIC+FED,7br,inv=High Satisfactory,svc=Low Satisfactory); INTERBANK(FED,3br,inv=Low Satisfactory,svc=-); RCB BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST FIDELITY BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
505,Frederick,MD,9536,survey-weighted,1,4,ACNB Bank,2403350,FDIC,Low Satisfactory,Low Satisfactory,"ACNB Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
507,Story,IA,9501,survey-weighted,1,1,Great Southern Bank,5723662,FDIC,High Satisfactory,Low Satisfactory,"Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
508,Putnam,FL,9497,survey-weighted,1,2,Ameris Bank,23591556,FDIC,High Satisfactory,Low Satisfactory,"Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
511,Surry,NC,9248,survey-weighted,3,7,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST COMMUNITY BANK(FED,5br,inv=-,svc=Low Satisfactory); FIRST BANK AND TRUST COMPANY THE(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
512,Lamar,MS,9224,survey-weighted,3,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,2br,inv=Low Satisfactory,svc=-)"
513,Glynn,GA,9214,survey-weighted,2,5,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
514,Sutter,CA,9117,MODELED,1,1,Five Star Bank,3476132,FDIC,High Satisfactory,Low Satisfactory,"Five Star Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
515,Franklin,WA,9083,survey-weighted,1,1,Yakima Federal Savings and Loan Association,1984560,FDIC,High Satisfactory,Low Satisfactory,"Yakima Federal Savings and Loan Association(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
517,White,AR,9051,survey-weighted,4,13,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,5br,inv=-,svc=Low Satisfactory); First Community Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
518,Morgan,AL,9038,survey-weighted,2,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); BANK INDEPENDENT(FED,4br,inv=Low Satisfactory,svc=-)"
519,Twin Falls,ID,9000,survey-weighted,1,5,D. L. Evans Bank,3071088,FDIC,Low Satisfactory,High Satisfactory,"D. L. Evans Bank(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory)"
520,Kenosha,WI,8999,survey-weighted,2,5,First American Bank,7074673,FDIC,Low Satisfactory,Low Satisfactory,"First American Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory); North Shore Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
